,game_id,game_date,home_team,away_team,home_score,away_score,total_score,overtime,venue,win_team,lose_team
0,2024020001,2024-10-04,BUF,NJD,1,4,5,False,O2 Czech Republic,NJD,BUF
1,2024020002,2024-10-05,NJD,BUF,3,1,4,False,O2 Czech Republic,NJD,BUF
4,2024020003,2024-10-08,SEA,STL,2,3,5,False,Climate Pledge Arena,STL,SEA
5,2024020004,2024-10-08,FLA,BOS,6,4,10,False,Amerant Bank Arena,FLA,BOS
6,2024020005,2024-10-08,UTA,CHI,5,2,7,False,Delta Center,UTA,CHI
12,2024020006,2024-10-09,MTL,TOR,1,0,1,False,Centre Bell,MTL,TOR
13,2024020007,2024-10-09,PIT,NYR,0,6,6,False,PPG Paints Arena,NYR,PIT
14,2024020008,2024-10-09,EDM,WPG,0,6,6,False,Rogers Place,WPG,EDM
15,2024020009,2024-10-09,VAN,CGY,5,6,11,True,Rogers Arena,CGY,VAN
16,2024020010,2024-10-09,VGK,COL,8,4,12,False,T-Mobile Arena,VGK,COL
27,2024020011,2024-10-10,BOS,MTL,6,4,10,False,TD Garden,BOS,MTL
28,2024020012,2024-10-10,BUF,LAK,1,3,4,False,KeyBank Center,LAK,BUF
29,2024020013,2024-10-10,OTT,FLA,3,1,4,False,Canadian Tire Centre,OTT,FLA
30,2024020015,2024-10-10,NJD,TOR,2,4,6,False,Prudential Center,TOR,NJD
31,2024020016,2024-10-10,NYI,UTA,4,5,9,True,UBS Arena,UTA,NYI
32,2024020014,2024-10-10,DET,PIT,3,6,9,False,Little Caesars Arena,PIT,DET
33,2024020017,2024-10-10,NSH,DAL,3,4,7,False,Bridgestone Arena,DAL,NSH
34,2024020018,2024-10-10,MIN,CBJ,3,2,5,False,Xcel Energy Center,MIN,CBJ
35,2024020019,2024-10-10,SJS,STL,4,5,9,True,SAP Center at San Jose,STL,SJS
54,2024020020,2024-10-11,CAR,TBL,1,4,5,False,Lenovo Center,TBL,CAR
55,2024020021,2024-10-11,WPG,CHI,2,1,3,True,Canada Life Centre,WPG,CHI
56,2024020022,2024-10-11,VAN,PHI,2,3,5,True,Rogers Arena,PHI,VAN
57,2024020023,2024-10-11,VGK,STL,4,3,7,False,T-Mobile Arena,VGK,STL
79,2024020024,2024-10-12,BOS,LAK,2,1,3,True,TD Garden,BOS,LAK
80,2024020025,2024-10-12,BUF,FLA,5,2,7,False,KeyBank Center,BUF,FLA
81,2024020026,2024-10-12,TOR,PIT,4,2,6,False,Scotiabank Arena,TOR,PIT
82,2024020027,2024-10-12,MTL,OTT,4,1,5,False,Centre Bell,MTL,OTT
83,2024020028,2024-10-12,DET,NSH,3,0,3,False,Little Caesars Arena,DET,NSH
84,2024020030,2024-10-12,NYR,UTA,5,6,11,True,Madison Square Garden,UTA,NYR
85,2024020031,2024-10-12,WSH,NJD,3,5,8,False,Capital One Arena,NJD,WSH
86,2024020032,2024-10-12,DAL,NYI,3,0,3,False,American Airlines Center,DAL,NYI
87,2024020033,2024-10-12,MIN,SEA,4,5,9,True,Xcel Energy Center,SEA,MIN
88,2024020034,2024-10-12,COL,CBJ,4,6,10,False,Ball Arena,CBJ,COL
89,2024020035,2024-10-12,CGY,PHI,6,3,9,False,Scotiabank Saddledome,CGY,PHI
90,2024020036,2024-10-12,EDM,CHI,2,5,7,False,Rogers Place,CHI,EDM
91,2024020037,2024-10-12,SJS,ANA,0,2,2,False,SAP Center at San Jose,ANA,SJS
126,2024020038,2024-10-13,WPG,MIN,2,1,3,True,Canada Life Centre,WPG,MIN
127,2024020039,2024-10-13,DAL,SEA,2,0,2,False,American Airlines Center,DAL,SEA
128,2024020040,2024-10-13,EDM,CGY,1,4,5,False,Rogers Place,CGY,EDM
129,2024020041,2024-10-13,VGK,ANA,3,1,4,False,T-Mobile Arena,VGK,ANA
168,2024020042,2024-10-14,BOS,FLA,3,4,7,False,TD Garden,FLA,BOS
169,2024020043,2024-10-14,OTT,LAK,8,7,15,True,Canadian Tire Centre,OTT,LAK
170,2024020044,2024-10-14,NJD,UTA,3,0,3,False,Prudential Center,NJD,UTA
171,2024020045,2024-10-14,NYR,DET,4,1,5,False,Madison Square Garden,NYR,DET
172,2024020046,2024-10-14,MTL,PIT,3,6,9,False,Centre Bell,PIT,MTL
173,2024020047,2024-10-14,COL,NYI,2,6,8,False,Ball Arena,NYI,COL
215,2024020048,2024-10-15,TBL,VAN,4,1,5,False,Amalie Arena,TBL,VAN
216,2024020049,2024-10-15,WSH,VGK,4,2,6,False,Capital One Arena,WSH,VGK
217,2024020050,2024-10-15,CAR,NJD,4,2,6,False,Lenovo Center,CAR,NJD
218,2024020051,2024-10-15,CBJ,FLA,3,4,7,False,Nationwide Arena,FLA,CBJ
219,2024020052,2024-10-15,STL,MIN,1,4,5,False,Enterprise Center,MIN,STL
220,2024020053,2024-10-15,NSH,SEA,3,7,10,False,Bridgestone Arena,SEA,NSH
221,2024020054,2024-10-15,DAL,SJS,3,2,5,True,American Airlines Center,DAL,SJS
222,2024020055,2024-10-15,CGY,CHI,3,1,4,False,Scotiabank Saddledome,CGY,CHI
223,2024020056,2024-10-15,EDM,PHI,4,3,7,True,Rogers Place,EDM,PHI
269,2024020057,2024-10-16,PIT,BUF,6,5,11,True,PPG Paints Arena,PIT,BUF
270,2024020058,2024-10-16,TOR,LAK,6,2,8,False,Scotiabank Arena,TOR,LAK
271,2024020059,2024-10-16,COL,BOS,3,5,8,False,Ball Arena,BOS,COL
272,2024020060,2024-10-16,ANA,UTA,5,4,9,True,Honda Center,ANA,UTA
313,2024020061,2024-10-17,MTL,LAK,1,4,5,False,Centre Bell,LAK,MTL
314,2024020062,2024-10-17,OTT,NJD,1,3,4,False,Canadian Tire Centre,NJD,OTT
315,2024020064,2024-10-17,TBL,VGK,4,3,7,False,Amalie Arena,TBL,VGK
316,2024020065,2024-10-17,FLA,VAN,2,3,5,True,Amerant Bank Arena,VAN,FLA
317,2024020066,2024-10-17,WSH,DAL,3,2,5,False,Capital One Arena,WSH,DAL
318,2024020067,2024-10-17,CBJ,BUF,6,4,10,False,Nationwide Arena,CBJ,BUF
319,2024020063,2024-10-17,DET,NYR,2,5,7,False,Little Caesars Arena,NYR,DET
320,2024020068,2024-10-17,STL,NYI,1,0,1,True,Enterprise Center,STL,NYI
321,2024020069,2024-10-17,NSH,EDM,2,4,6,False,Bridgestone Arena,EDM,NSH
322,2024020070,2024-10-17,CHI,SJS,4,2,6,False,United Center,CHI,SJS
323,2024020071,2024-10-17,SEA,PHI,6,4,10,False,Climate Pledge Arena,SEA,PHI
371,2024020072,2024-10-18,PIT,CAR,1,4,5,False,PPG Paints Arena,CAR,PIT
372,2024020073,2024-10-18,WPG,SJS,8,3,11,False,Canada Life Centre,WPG,SJS
373,2024020074,2024-10-18,COL,ANA,4,3,7,True,Ball Arena,COL,ANA
411,2024020075,2024-10-19,OTT,TBL,5,4,9,False,Canadian Tire Centre,OTT,TBL
412,2024020076,2024-10-19,NSH,DET,2,5,7,False,Bridgestone Arena,DET,NSH
413,2024020077,2024-10-19,DAL,EDM,4,1,5,False,American Airlines Center,DAL,EDM
414,2024020078,2024-10-19,FLA,VGK,4,3,7,True,Amerant Bank Arena,FLA,VGK
415,2024020079,2024-10-19,TOR,NYR,1,4,5,False,Scotiabank Arena,NYR,TOR
416,2024020080,2024-10-19,NJD,WSH,5,6,11,True,Prudential Center,WSH,NJD
417,2024020081,2024-10-19,NYI,MTL,4,3,7,True,UBS Arena,NYI,MTL
418,2024020082,2024-10-19,PHI,VAN,0,3,3,False,Wells Fargo Center,VAN,PHI
419,2024020083,2024-10-19,CBJ,MIN,1,3,4,False,Nationwide Arena,MIN,CBJ
420,2024020084,2024-10-19,STL,CAR,4,3,7,False,Enterprise Center,STL,CAR
421,2024020085,2024-10-19,CHI,BUF,2,4,6,False,United Center,BUF,CHI
422,2024020086,2024-10-19,UTA,BOS,2,1,3,True,Delta Center,UTA,BOS
423,2024020087,2024-10-19,SEA,CGY,2,1,3,True,Climate Pledge Arena,SEA,CGY
470,2024020088,2024-10-20,WPG,PIT,6,3,9,False,Canada Life Centre,WPG,PIT
471,2024020089,2024-10-20,SJS,COL,1,4,5,False,SAP Center at San Jose,COL,SJS
472,2024020090,2024-10-20,ANA,LAK,1,4,5,False,Honda Center,LAK,ANA
516,2024020091,2024-10-21,TOR,TBL,5,2,7,False,Scotiabank Arena,TOR,TBL
552,2024020092,2024-10-22,PHI,WSH,1,4,5,False,Wells Fargo Center,WSH,PHI
553,2024020093,2024-10-22,FLA,MIN,1,5,6,False,Amerant Bank Arena,MIN,FLA
554,2024020094,2024-10-22,NJD,TBL,5,8,13,False,Prudential Center,TBL,NJD
555,2024020095,2024-10-22,BUF,DAL,4,2,6,False,KeyBank Center,BUF,DAL
556,2024020096,2024-10-22,MTL,NYR,2,7,9,False,Centre Bell,NYR,MTL
557,2024020097,2024-10-22,CBJ,TOR,6,2,8,False,Nationwide Arena,CBJ,TOR
558,2024020098,2024-10-22,NYI,DET,0,1,1,False,UBS Arena,DET,NYI
559,2024020099,2024-10-22,STL,WPG,2,3,5,False,Enterprise Center,WPG,STL
560,2024020100,2024-10-22,CHI,VAN,3,6,9,False,United Center,VAN,CHI
561,2024020106,2024-10-22,SEA,COL,2,3,5,False,Climate Pledge Arena,COL,SEA
562,2024020101,2024-10-22,NSH,BOS,4,0,4,False,Bridgestone Arena,NSH,BOS
563,2024020103,2024-10-22,EDM,CAR,2,3,5,True,Rogers Place,CAR,EDM
564,2024020104,2024-10-22,UTA,OTT,0,4,4,False,Delta Center,OTT,UTA
565,2024020102,2024-10-22,CGY,PIT,4,3,7,True,Scotiabank Saddledome,CGY,PIT
566,2024020105,2024-10-22,ANA,SJS,3,1,4,False,Honda Center,ANA,SJS
567,2024020107,2024-10-22,VGK,LAK,6,1,7,False,T-Mobile Arena,VGK,LAK
615,2024020108,2024-10-23,WSH,PHI,6,3,9,False,Capital One Arena,WSH,PHI
653,2024020109,2024-10-24,BOS,DAL,2,5,7,False,TD Garden,DAL,BOS
654,2024020110,2024-10-24,TOR,STL,1,5,6,False,Scotiabank Arena,STL,TOR
655,2024020111,2024-10-24,DET,NJD,5,3,8,False,Little Caesars Arena,DET,NJD
656,2024020112,2024-10-24,TBL,MIN,2,4,6,False,Amalie Arena,MIN,TBL
657,2024020113,2024-10-24,NYR,FLA,1,3,4,False,Madison Square Garden,FLA,NYR
658,2024020114,2024-10-24,CGY,CAR,2,4,6,False,Scotiabank Saddledome,CAR,CGY
659,2024020115,2024-10-24,UTA,COL,1,5,6,False,Delta Center,COL,UTA
660,2024020116,2024-10-24,SEA,WPG,3,4,7,True,Climate Pledge Arena,WPG,SEA
661,2024020117,2024-10-24,LAK,SJS,3,2,5,False,Crypto.com Arena,LAK,SJS
705,2024020118,2024-10-25,VGK,OTT,6,4,10,False,T-Mobile Arena,VGK,OTT
706,2024020119,2024-10-25,NJD,NYI,3,4,7,True,Prudential Center,NYI,NJD
707,2024020120,2024-10-25,CHI,NSH,2,3,5,False,United Center,NSH,CHI
708,2024020121,2024-10-25,EDM,PIT,4,0,4,False,Rogers Place,EDM,PIT
743,2024020122,2024-10-26,BUF,DET,5,3,8,False,KeyBank Center,BUF,DET
744,2024020123,2024-10-26,PHI,MIN,7,5,12,False,Wells Fargo Center,PHI,MIN
745,2024020124,2024-10-26,LAK,UTA,3,2,5,False,Crypto.com Arena,LAK,UTA
746,2024020125,2024-10-26,BOS,TOR,4,3,7,True,TD Garden,BOS,TOR
747,2024020126,2024-10-26,MTL,STL,5,2,7,False,Centre Bell,MTL,STL
748,2024020127,2024-10-26,TBL,WSH,3,0,3,False,Amalie Arena,TBL,WSH
749,2024020128,2024-10-26,NYR,ANA,2,1,3,False,Madison Square Garden,NYR,ANA
750,2024020129,2024-10-26,CGY,WPG,3,5,8,False,Scotiabank Saddledome,WPG,CGY
751,2024020130,2024-10-26,NYI,FLA,3,6,9,False,UBS Arena,FLA,NYI
752,2024020131,2024-10-26,NSH,CBJ,4,3,7,True,Bridgestone Arena,NSH,CBJ
753,2024020132,2024-10-26,DAL,CHI,4,2,6,False,American Airlines Center,DAL,CHI
754,2024020133,2024-10-26,VAN,PIT,4,3,7,False,Rogers Arena,VAN,PIT
755,2024020134,2024-10-26,VGK,SJS,7,3,10,False,T-Mobile Arena,VGK,SJS
756,2024020135,2024-10-26,SEA,CAR,1,4,5,False,Climate Pledge Arena,CAR,SEA
802,2024020136,2024-10-27,DET,EDM,2,3,5,True,Little Caesars Arena,EDM,DET
803,2024020137,2024-10-27,NJD,ANA,6,2,8,False,Prudential Center,NJD,ANA
804,2024020138,2024-10-27,PHI,MTL,3,4,7,False,Wells Fargo Center,MTL,PHI
805,2024020139,2024-10-27,COL,OTT,5,4,9,False,Ball Arena,COL,OTT
854,2024020140,2024-10-28,BUF,FLA,2,5,7,False,KeyBank Center,FLA,BUF
855,2024020142,2024-10-28,CBJ,EDM,6,1,7,False,Nationwide Arena,CBJ,EDM
856,2024020141,2024-10-28,TBL,NSH,3,2,5,True,Amalie Arena,TBL,NSH
857,2024020143,2024-10-28,WPG,TOR,4,6,10,False,Canada Life Centre,TOR,WPG
858,2024020144,2024-10-28,COL,CHI,2,5,7,False,Ball Arena,CHI,COL
859,2024020145,2024-10-28,UTA,SJS,4,5,9,True,Delta Center,SJS,UTA
860,2024020146,2024-10-28,VAN,CAR,3,4,7,True,Rogers Arena,CAR,VAN
861,2024020147,2024-10-28,VGK,CGY,5,0,5,False,T-Mobile Arena,VGK,CGY
902,2024020148,2024-10-29,BOS,PHI,0,2,2,False,TD Garden,PHI,BOS
903,2024020149,2024-10-29,MTL,SEA,2,8,10,False,Centre Bell,SEA,MTL
904,2024020150,2024-10-29,OTT,STL,8,1,9,False,Canadian Tire Centre,OTT,STL
905,2024020152,2024-10-29,NYI,ANA,1,3,4,False,UBS Arena,ANA,NYI
906,2024020153,2024-10-29,PIT,MIN,3,5,8,False,PPG Paints Arena,MIN,PIT
907,2024020151,2024-10-29,WSH,NYR,5,3,8,False,Capital One Arena,WSH,NYR
908,2024020154,2024-10-29,SJS,LAK,4,2,6,False,SAP Center at San Jose,SJS,LAK
955,2024020155,2024-10-30,CBJ,NYI,2,0,2,False,Nationwide Arena,CBJ,NYI
956,2024020156,2024-10-30,DET,WPG,2,6,8,False,Little Caesars Arena,WPG,DET
957,2024020157,2024-10-30,COL,TBL,2,5,7,False,Ball Arena,TBL,COL
958,2024020158,2024-10-30,UTA,CGY,5,1,6,False,Delta Center,UTA,CGY
959,2024020160,2024-10-30,LAK,VGK,6,3,9,False,Crypto.com Arena,LAK,VGK
960,2024020159,2024-10-30,VAN,NJD,0,6,6,False,Rogers Arena,NJD,VAN
1004,2024020161,2024-10-31,TOR,SEA,4,1,5,False,Scotiabank Arena,TOR,SEA
1005,2024020162,2024-10-31,PHI,STL,2,1,3,False,Wells Fargo Center,PHI,STL
1006,2024020163,2024-10-31,PIT,ANA,2,1,3,True,PPG Paints Arena,PIT,ANA
1007,2024020164,2024-10-31,WSH,MTL,6,3,9,False,Capital One Arena,WSH,MTL
1008,2024020165,2024-10-31,CAR,BOS,8,2,10,False,Lenovo Center,CAR,BOS
1009,2024020166,2024-10-31,NSH,EDM,1,5,6,False,Bridgestone Arena,EDM,NSH
1010,2024020167,2024-10-31,SJS,CHI,3,2,5,False,SAP Center at San Jose,SJS,CHI
1057,2024020168,2024-11-01,DAL,FLA,4,6,10,False,Nokia Arena,FLA,DAL
1058,2024020169,2024-11-01,BUF,NYI,3,4,7,False,KeyBank Center,NYI,BUF
1059,2024020170,2024-11-01,NYR,OTT,2,1,3,False,Madison Square Garden,NYR,OTT
1060,2024020171,2024-11-01,CBJ,WPG,2,6,8,False,Nationwide Arena,WPG,CBJ
1061,2024020172,2024-11-01,MIN,TBL,5,3,8,False,Xcel Energy Center,MIN,TBL
1062,2024020173,2024-11-01,CGY,NJD,3,0,3,False,Scotiabank Saddledome,CGY,NJD
1101,2024020174,2024-11-02,FLA,DAL,4,2,6,False,Nokia Arena,FLA,DAL
1102,2024020175,2024-11-02,PHI,BOS,0,3,3,False,Wells Fargo Center,BOS,PHI
1103,2024020176,2024-11-02,LAK,CHI,3,4,7,True,Crypto.com Arena,CHI,LAK
1104,2024020177,2024-11-02,WSH,CBJ,7,2,9,False,Capital One Arena,WSH,CBJ
1105,2024020178,2024-11-02,OTT,SEA,3,0,3,False,Canadian Tire Centre,OTT,SEA
1106,2024020179,2024-11-02,DET,BUF,2,1,3,False,Little Caesars Arena,DET,BUF
1107,2024020180,2024-11-02,PIT,MTL,3,1,4,False,PPG Paints Arena,PIT,MTL
1108,2024020181,2024-11-02,STL,TOR,4,2,6,False,Enterprise Center,STL,TOR
1109,2024020182,2024-11-02,NSH,COL,5,2,7,False,Bridgestone Arena,NSH,COL
1110,2024020183,2024-11-02,VGK,UTA,4,3,7,True,T-Mobile Arena,VGK,UTA
1111,2024020184,2024-11-02,SJS,VAN,2,3,5,False,SAP Center at San Jose,VAN,SJS
1157,2024020185,2024-11-03,NYR,NYI,5,2,7,False,Madison Square Garden,NYR,NYI
1158,2024020186,2024-11-03,WPG,TBL,7,4,11,False,Canada Life Centre,WPG,TBL
1159,2024020187,2024-11-03,BOS,SEA,2,0,2,False,TD Garden,BOS,SEA
1160,2024020188,2024-11-03,CAR,WSH,4,2,6,False,Lenovo Center,CAR,WSH
1161,2024020189,2024-11-03,MIN,TOR,2,1,3,True,Xcel Energy Center,MIN,TOR
1162,2024020190,2024-11-03,CGY,EDM,2,4,6,False,Scotiabank Saddledome,EDM,CGY
1163,2024020191,2024-11-03,ANA,CHI,2,4,6,False,Honda Center,CHI,ANA
1208,2024020192,2024-11-04,NSH,LAK,0,3,3,False,Bridgestone Arena,LAK,NSH
1209,2024020193,2024-11-04,EDM,NJD,0,3,3,False,Rogers Place,NJD,EDM
1249,2024020194,2024-11-05,BUF,OTT,5,1,6,False,KeyBank Center,BUF,OTT
1250,2024020195,2024-11-05,TOR,BOS,4,0,4,False,Scotiabank Arena,TOR,BOS
1251,2024020196,2024-11-05,MTL,CGY,2,3,5,True,Centre Bell,CGY,MTL
1252,2024020197,2024-11-05,CAR,PHI,6,4,10,False,Lenovo Center,CAR,PHI
1253,2024020198,2024-11-05,NYI,PIT,4,3,7,True,UBS Arena,NYI,PIT
